id,title,source,source_type,source_group,recommendation_level,score,published_date,venue,citation_count,influential_citation_count,code_url,project_url,url,topics,categories,fields_of_study,enrichment_sources,reading_status
biorxiv:10.64898/2026.05.03.722293,Whole-body 3D kinematics of freely behaving Drosophila,biorxiv,recent_7d,cognition_social,B,0.653,2026-09-16,bioRxiv,,,,,https://doi.org/10.64898/2026.05.03.722293,cognition,neuroscience,Neuroscience,,backlog
biorxiv:10.1101/2024.10.24.620089,Functional organization and natural scene responses across mouse visual cortical areas revealed with encoding manifolds,biorxiv,recent_7d,cognition_social,B,0.653,2026-09-16,bioRxiv,,,,,https://doi.org/10.1101/2024.10.24.620089,cognition,neuroscience,Neuroscience,,backlog
biorxiv:10.64898/2026.07.12.738094,Neural correlates of the subjective experience of free-will during value-based risky decisions: a pilot study,biorxiv,recent_7d,cognition_social,B,0.653,2026-09-16,bioRxiv,,,,,https://doi.org/10.64898/2026.07.12.738094,cognition,neuroscience,Neuroscience,,backlog
biorxiv:10.64898/2026.08.22.746476,"Motivationally objective versus subjective decision-making: Neural correlates, behavior, and self-report",biorxiv,recent_7d,cognition_social,B,0.653,2026-09-16,bioRxiv,,,,,https://doi.org/10.64898/2026.08.22.746476,cognition,neuroscience,Neuroscience,,backlog
biorxiv:10.64898/2026.09.11.750997,Breathlessness catastrophising after COVID-19 involves both interoceptive and visceromotor connectivity,biorxiv,recent_7d,cognition_social,B,0.653,2026-09-16,bioRxiv,,,,,https://doi.org/10.64898/2026.09.11.750997,cognition,neuroscience,Neuroscience,,backlog
biorxiv:10.64898/2026.05.11.724160,Juvenile social isolation induces gene expression alterations and histone modification dysregulations in nucleus accumbens (NAc) neurons of female mice,biorxiv,recent_7d,cognition_social,B,0.653,2026-09-16,bioRxiv,,,,,https://doi.org/10.64898/2026.05.11.724160,cognition,neuroscience,Neuroscience,,backlog
